name: hatchback_-30_45_-36_10_15_20_30_420.png, overlap_score: 54.7167801641348, pred: [-30, -25]
name: sedan4door_-50_15_-22_10_20_140_60_420.png, overlap_score: 0.3744889615699101, pred: [-50, -35]
name: suv_-30_45_-4_10_20_80_30_420.png, overlap_score: 0.0, pred: [-30, -34]
name: hybrid_-30_45_-36_35_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -41]
name: hybrid_-17_45_-36_10_15_140_30_420.png, overlap_score: 120.97872340425532, pred: [-17, -3]
name: hatchback_-30_45_-36_10_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -37]
name: hatchback_-50_15_-4_35_20_80_60_420.png, overlap_score: 0.0, pred: [-50, -42]
name: hatchback_-17_15_-4_10_15_230_30_420.png, overlap_score: 243.2280701754386, pred: [-17, -3]
name: sedan2door_-30_45_-22_10_15_230_60_420.png, overlap_score: 2.4333683105981114, pred: [-30, -19]
name: sedan4door_-30_15_-4_35_20_80_60_420.png, overlap_score: 0.0, pred: [-30, -35]
name: sedan2door_-50_15_-4_10_20_20_60_420.png, overlap_score: 3.4964170990857424, pred: [-50, -26]
name: hybrid_-30_15_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -17]
name: hatchback_-50_15_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -53]
name: sedan2door_-50_15_-22_35_20_20_60_420.png, overlap_score: 3.621200889547813, pred: [-50, -26]
name: hybrid_-30_15_-36_10_20_230_30_420.png, overlap_score: 5.540229885057471, pred: [-30, -10]
name: sedan4door_-17_45_-4_35_15_20_30_420.png, overlap_score: 71.98006452146579, pred: [-17, -28]
name: hatchback_-17_45_-4_35_15_20_30_420.png, overlap_score: 97.08514576584915, pred: [-17, -22]
name: sedan2door_-30_15_-36_35_20_230_60_420.png, overlap_score: 0.0, pred: [-30, -16]
name: hatchback_-30_15_-4_10_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -33]
name: sedan4door_-30_45_-36_10_15_20_60_420.png, overlap_score: 1.9249352890422777, pred: [-30, -31]
name: sedan4door_-30_45_-4_10_15_80_60_420.png, overlap_score: 1.321904761904762, pred: [-30, -29]
name: suv_-30_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -2]
name: hybrid_-30_15_-22_35_15_80_30_420.png, overlap_score: 0.0, pred: [-30, -29]
name: hatchback_-30_15_-22_35_15_20_60_420.png, overlap_score: 0.0006564910553093714, pred: [-30, -32]
name: hatchback_-17_15_-22_10_20_80_30_420.png, overlap_score: 0.0, pred: [-17, -18]
name: hybrid_-50_15_-4_35_15_80_60_420.png, overlap_score: 0.0, pred: [-50, -34]
name: suv_-50_45_-36_35_20_20_30_420.png, overlap_score: 157.8090380006847, pred: [-50, -29]
name: sedan2door_-17_15_-36_35_20_230_60_420.png, overlap_score: 0.0, pred: [-17, 0]
name: hatchback_-30_15_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-30, -29]
name: suv_-50_45_-36_35_15_230_30_420.png, overlap_score: 56.90987124463519, pred: [-50, -18]
name: sedan4door_-30_45_-22_10_20_230_60_420.png, overlap_score: 0.0, pred: [-30, -37]
name: sedan2door_-50_45_-4_10_15_80_60_420.png, overlap_score: 0.0, pred: [-50, -44]
name: hatchback_-50_45_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -39]
name: sedan4door_-30_15_-36_10_20_80_60_420.png, overlap_score: 0.0, pred: [-30, -31]
name: sedan2door_-30_15_-36_10_15_20_30_420.png, overlap_score: 127.47738190552442, pred: [-30, -17]
name: hatchback_-17_45_-36_35_15_140_60_420.png, overlap_score: 126.05128205128206, pred: [-17, -10]
name: hybrid_-50_45_-4_35_15_140_60_420.png, overlap_score: 0.20997920997921, pred: [-50, -51]
name: sedan2door_-30_15_-22_10_15_20_30_420.png, overlap_score: 131.1054176674673, pred: [-30, -17]
name: sedan4door_-50_45_-22_10_20_230_30_420.png, overlap_score: 0.0, pred: [-50, -27]
name: suv_-50_15_-4_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -33]
name: hybrid_-50_15_-4_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -32]
name: sedan4door_-17_45_-36_10_20_80_30_420.png, overlap_score: 229.16170555108607, pred: [-17, -24]
name: hybrid_-30_45_-36_10_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -40]
name: suv_-50_45_-36_35_15_20_30_420.png, overlap_score: 195.4549811708319, pred: [-50, -29]
name: sedan2door_-30_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -25]
name: hatchback_-50_45_-4_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -50]
name: hatchback_-50_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -52]
name: sedan4door_-50_15_-36_35_15_140_60_420.png, overlap_score: 0.0, pred: [-50, -29]
name: hybrid_-50_45_-36_35_15_140_30_420.png, overlap_score: 3.6595744680851063, pred: [-50, -20]
name: hybrid_-50_15_-22_35_20_140_60_420.png, overlap_score: 0.05405405405405406, pred: [-50, -44]
name: sedan2door_-50_15_-4_10_20_140_60_420.png, overlap_score: 0.0, pred: [-50, -39]
name: hatchback_-30_15_-4_35_20_80_60_420.png, overlap_score: 0.0007047216349541931, pred: [-30, -33]
name: hybrid_-17_45_-36_10_15_20_30_420.png, overlap_score: 139.09852066493823, pred: [-17, -10]
name: hatchback_-17_45_-36_35_15_230_60_420.png, overlap_score: 0.0, pred: [-17, -26]
name: sedan2door_-50_45_-36_35_15_20_60_420.png, overlap_score: 0.0, pred: [-50, -28]
name: hatchback_-30_45_-22_10_15_230_60_420.png, overlap_score: 0.0, pred: [-30, -36]
name: sedan4door_-30_15_-22_10_15_80_60_420.png, overlap_score: 0.0, pred: [-30, -32]
name: hatchback_-17_45_-4_10_15_140_30_420.png, overlap_score: 0.3263598326359833, pred: [-17, -30]
name: suv_-30_15_-4_35_20_80_60_420.png, overlap_score: 0.0, pred: [-30, -31]
name: sedan2door_-50_45_-36_35_15_80_60_420.png, overlap_score: 0.0, pred: [-50, -43]
name: sedan4door_-50_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -40]
name: sedan4door_-50_45_-22_35_20_80_60_420.png, overlap_score: 0.0, pred: [-50, -32]
name: hatchback_-17_45_-36_10_20_20_60_420.png, overlap_score: 26.082218597063623, pred: [-17, -24]
name: sedan4door_-50_15_-4_35_20_230_60_420.png, overlap_score: 0.0, pred: [-50, -39]
name: sedan2door_-50_45_-22_10_15_80_60_420.png, overlap_score: 0.0, pred: [-50, -43]
name: sedan2door_-17_15_-22_10_20_230_30_420.png, overlap_score: None, pred: [-17, -8]
name: hatchback_-50_15_-36_10_20_230_30_420.png, overlap_score: 55.991189427312776, pred: [-50, -17]
name: hatchback_-50_45_-4_35_15_230_60_420.png, overlap_score: 0.0, pred: [-50, -51]
name: hatchback_-17_15_-36_10_15_140_60_420.png, overlap_score: 101.71794871794872, pred: [-17, -13]
name: hatchback_-17_45_-4_10_15_140_60_420.png, overlap_score: 65.41391941391942, pred: [-17, -16]
name: hatchback_-17_15_-22_35_20_140_60_420.png, overlap_score: 124.01831501831502, pred: [-17, -15]
name: hatchback_-30_15_-4_10_20_230_30_420.png, overlap_score: 11.502958579881657, pred: [-30, -12]
name: sedan2door_-50_45_-4_10_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -37]
name: hybrid_-17_15_-36_35_20_20_60_420.png, overlap_score: 63.13636363636363, pred: [-17, -15]
name: hybrid_-30_45_-22_35_20_20_60_420.png, overlap_score: 9.49610451875824, pred: [-30, -29]
name: hatchback_-30_15_-4_10_15_80_30_420.png, overlap_score: 1.0657620041753653, pred: [-30, -33]
name: hybrid_-17_45_-4_10_15_140_60_420.png, overlap_score: 7.027027027027027, pred: [-17, -22]
name: hybrid_-50_15_-22_10_20_20_30_420.png, overlap_score: 72.2262341325811, pred: [-50, -16]
name: hatchback_-30_45_-22_35_20_20_30_420.png, overlap_score: 76.49353937489087, pred: [-30, -26]
name: suv_-30_45_-4_10_20_230_60_420.png, overlap_score: 0.0, pred: [-30, -41]
name: hatchback_-17_15_-22_35_20_80_30_420.png, overlap_score: 0.0, pred: [-17, -14]
name: sedan2door_-30_15_-4_35_20_80_30_420.png, overlap_score: 0.17631887456037515, pred: [-30, -29]
name: sedan2door_-50_15_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -39]
name: suv_-50_45_-36_10_20_230_60_420.png, overlap_score: 0.0, pred: [-50, -50]
name: hatchback_-50_15_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -38]
name: suv_-17_15_-4_10_15_80_30_420.png, overlap_score: 189.1414216598437, pred: [-17, -13]
name: sedan2door_-30_15_-36_35_20_230_30_420.png, overlap_score: None, pred: [-30, -10]
name: sedan2door_-50_15_-22_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -39]
name: hatchback_-30_45_-4_35_20_80_60_420.png, overlap_score: 0.8379140239605356, pred: [-30, -33]
name: hybrid_-30_15_-36_35_15_20_30_420.png, overlap_score: 254.11454623165693, pred: [-30, -2]
name: hatchback_-50_15_-4_35_15_20_30_420.png, overlap_score: 99.33761580143332, pred: [-50, -26]
name: suv_-30_15_-4_35_15_20_30_420.png, overlap_score: 199.3472693292725, pred: [-30, -20]
name: sedan4door_-30_15_-4_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -26]
name: hybrid_-30_45_-4_10_15_80_60_420.png, overlap_score: 1.2879781420765026, pred: [-30, -32]
name: suv_-50_15_-4_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -31]
name: sedan4door_-30_15_-4_35_15_80_60_420.png, overlap_score: 0.0, pred: [-30, -35]
name: hybrid_-17_45_-4_35_20_20_60_420.png, overlap_score: 73.88413310827104, pred: [-17, -19]
name: suv_-50_45_-36_10_15_80_60_420.png, overlap_score: 0.0, pred: [-50, -42]
name: sedan2door_-17_45_-4_10_15_20_60_420.png, overlap_score: 190.21510835913313, pred: [-17, -15]
name: sedan4door_-17_15_-4_35_20_140_60_420.png, overlap_score: 0.0, pred: [-17, -14]
name: sedan4door_-30_45_-4_10_20_230_30_420.png, overlap_score: 0.0, pred: [-30, -18]
name: sedan2door_-17_15_-36_10_20_20_30_420.png, overlap_score: 154.72991301783873, pred: [-17, -14]
name: sedan4door_-50_45_-36_35_15_230_60_420.png, overlap_score: 0.0, pred: [-50, -38]
name: hybrid_-30_45_-4_35_20_80_60_420.png, overlap_score: 0.907103825136612, pred: [-30, -32]
name: hybrid_-50_15_-4_10_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -33]
name: sedan2door_-17_15_-4_10_15_230_30_420.png, overlap_score: None, pred: [-17, -3]
name: hatchback_-30_45_-4_10_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -35]
name: sedan4door_-30_45_-4_10_15_80_30_420.png, overlap_score: 0.0, pred: [-30, -33]
name: sedan4door_-50_45_-36_35_20_230_60_420.png, overlap_score: 0.0, pred: [-50, -39]
name: sedan2door_-50_15_-22_10_20_140_60_420.png, overlap_score: 0.0, pred: [-50, -38]
name: hatchback_-50_15_-36_10_20_80_60_420.png, overlap_score: 0.0, pred: [-50, -45]
name: sedan4door_-30_45_-4_35_15_230_30_420.png, overlap_score: 0.0, pred: [-30, -23]
name: hatchback_-50_45_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -52]
name: sedan4door_-17_45_-4_10_15_230_30_420.png, overlap_score: 0.0, pred: [-17, -13]
name: hatchback_-17_15_-22_35_20_230_60_420.png, overlap_score: 0.0, pred: [-17, -27]
name: sedan2door_-50_45_-22_35_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -33]
name: sedan2door_-30_45_-36_10_15_80_30_420.png, overlap_score: 57.17936694021102, pred: [-30, -36]
name: hybrid_-50_45_-22_35_15_140_60_420.png, overlap_score: 0.2515592515592516, pred: [-50, -50]
name: sedan4door_-30_45_-22_35_20_230_60_420.png, overlap_score: 0.0, pred: [-30, -43]
name: hybrid_-50_45_-22_35_15_230_60_420.png, overlap_score: 0.0, pred: [-50, -53]
name: hybrid_-50_15_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -34]
name: hatchback_-17_15_-36_10_20_20_30_420.png, overlap_score: 169.81073577047664, pred: [-17, -13]
name: sedan4door_-30_15_-22_10_15_20_30_420.png, overlap_score: 10.942754234040923, pred: [-30, -29]
name: sedan4door_-50_45_-4_10_15_140_60_420.png, overlap_score: 0.10629599345870809, pred: [-50, -44]
name: hatchback_-50_45_-4_35_15_20_30_420.png, overlap_score: 76.55672085299773, pred: [-50, -30]
name: sedan2door_-50_45_-36_35_20_140_60_420.png, overlap_score: 0.0, pred: [-50, -47]
name: suv_-17_45_-22_35_15_20_60_420.png, overlap_score: 112.60718322240362, pred: [-17, -30]
name: suv_-50_45_-22_10_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -33]
name: sedan4door_-17_45_-36_35_20_80_60_420.png, overlap_score: 62.0741045697818, pred: [-17, -14]
name: suv_-30_15_-22_35_20_80_60_420.png, overlap_score: 0.0, pred: [-30, -34]
name: sedan4door_-30_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-30, -30]
name: hatchback_-17_45_-36_10_20_230_30_420.png, overlap_score: 98.39285714285714, pred: [-17, -8]
name: sedan2door_-17_45_-4_35_20_140_60_420.png, overlap_score: 0.0, pred: [-17, -20]
name: hatchback_-50_45_-22_35_20_230_30_420.png, overlap_score: 119.18934911242603, pred: [-50, -24]
name: suv_-17_15_-36_10_15_140_60_420.png, overlap_score: 1.0401234567901234, pred: [-17, -14]
name: hatchback_-17_45_-4_10_15_80_30_420.png, overlap_score: 16.19152691968226, pred: [-17, -19]
name: sedan2door_-17_45_-36_35_20_20_30_420.png, overlap_score: 143.8111455108359, pred: [-17, -17]
name: sedan4door_-30_45_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-30, -27]
name: hatchback_-17_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-17, -39]
name: suv_-50_15_-22_35_15_140_60_420.png, overlap_score: 0.0, pred: [-50, -35]
name: hybrid_-17_45_-36_10_15_140_60_420.png, overlap_score: 4.662162162162162, pred: [-17, -22]
name: hybrid_-17_15_-4_35_20_140_30_420.png, overlap_score: 165.53191489361703, pred: [-17, -8]
name: hybrid_-30_45_-36_35_15_230_60_420.png, overlap_score: 0.0, pred: [-30, -39]
name: sedan4door_-30_15_-36_10_15_80_30_420.png, overlap_score: 146.82302158273382, pred: [-30, -25]
name: sedan2door_-50_45_-36_35_15_230_30_420.png, overlap_score: 0.0, pred: [-50, -17]
name: hatchback_-17_45_-36_10_20_80_60_420.png, overlap_score: 14.280843427545985, pred: [-17, -17]
name: hybrid_-30_45_-22_10_20_20_30_420.png, overlap_score: 143.93631571448924, pred: [-30, 0]
