filename,fl,fr,bl,br,trunk,az,el,dist,overlap,l1 angle error
sedan4door_-20_23_-8_35_20_230_60_420.png,-20,23,-8,35,20,230,60,420,0.2501008069214183,1.0
sedan4door_-40_45_-30_35_20_140_30_420.png,-40,45,-30,35,20,140,30,420,0.07853081658318475,2.0
suv_-20_15_-30_35_20_80_60_420.png,-20,15,-30,35,20,80,60,420,0.06846911506088071,3.0
suv_0_45_-8_10_20_80_60_420.png,0,45,-8,10,20,80,60,420,0.8553467412252143,1.0
sedan4door_-40_15_-30_10_20_20_60_420.png,-40,15,-30,10,20,20,60,420,0.19094235149903804,10.0
suv_0_45_-8_35_20_80_30_420.png,0,45,-8,35,20,80,30,420,0.8469551683849487,12.0
hatchback_0_45_-30_10_15_140_60_420.png,0,45,-30,10,15,140,60,420,0.714459581380581,2.0
sedan2door_-40_45_-8_35_15_140_30_420.png,-40,45,-8,35,15,140,30,420,0.07816621363386904,4.0
suv_-20_23_-8_35_15_230_60_420.png,-20,23,-8,35,15,230,60,420,0.13868682152596143,5.0
hybrid_-20_45_-30_35_15_230_60_420.png,-20,45,-30,35,15,230,60,420,0.289177719814532,1.0
hatchback_-20_45_-30_35_15_140_60_420.png,-20,45,-30,35,15,140,60,420,0.41373287947246806,11.0
hatchback_0_45_-8_35_15_230_30_420.png,0,45,-8,35,15,230,30,420,0.785956368685472,20.0
hatchback_0_15_-8_10_15_20_30_420.png,0,15,-8,10,15,20,30,420,0.5816718061602373,1.0
hatchback_-20_15_-8_35_20_20_30_420.png,-20,15,-8,35,20,20,30,420,0.45161490683229816,4.0
sedan2door_0_15_-8_35_15_80_30_420.png,0,15,-8,35,15,80,30,420,0.8461920830511278,1.0
hatchback_0_15_-30_35_15_20_60_420.png,0,15,-30,35,15,20,60,420,0.8058352279481693,2.0
sedan2door_-40_15_-30_10_20_230_60_420.png,-40,15,-30,10,20,230,60,420,0.19337162313236533,8.0
hybrid_-20_15_-30_10_20_80_30_420.png,-20,15,-30,10,20,80,30,420,0.23544590165810678,3.0
hatchback_-40_15_-30_35_15_20_60_420.png,-40,15,-30,35,15,20,60,420,0.22109024893941204,12.0
sedan2door_-20_23_-8_10_20_230_60_420.png,-20,23,-8,10,20,230,60,420,0.16974926492975342,8.0
hybrid_0_15_-30_35_20_230_30_420.png,0,15,-30,35,20,230,30,420,0.8013024532433712,20.0
suv_-40_45_-8_10_15_140_30_420.png,-40,45,-8,10,15,140,30,420,0.18776290588152683,10.0
