name: sedan4door_-20_23_-8_35_20_230_60_420.png, overlap_score: 0.0, pred: [-20, -19]
name: sedan4door_-40_45_-30_35_20_140_30_420.png, overlap_score: 0.0, pred: [-40, -38]
name: suv_-20_15_-30_35_20_80_60_420.png, overlap_score: 0.0, pred: [-20, -17]
name: suv_0_45_-8_10_20_80_60_420.png, overlap_score: 215.4257748776509, pred: [0, -1]
name: sedan4door_-40_15_-30_10_20_20_60_420.png, overlap_score: 0.0, pred: [-40, -30]
name: suv_0_45_-8_35_20_80_30_420.png, overlap_score: 197.50611790878753, pred: [0, -12]
name: hatchback_0_45_-30_10_15_140_60_420.png, overlap_score: 248.6549707602339, pred: [0, -2]
name: sedan2door_-40_45_-8_35_15_140_30_420.png, overlap_score: 0.0, pred: [-40, -36]
name: suv_-20_23_-8_35_15_230_60_420.png, overlap_score: 0.0, pred: [-20, -25]
name: hybrid_-20_45_-30_35_15_230_60_420.png, overlap_score: 0.0362400906002265, pred: [-20, -21]
name: hatchback_-20_45_-30_35_15_140_60_420.png, overlap_score: 88.7363184079602, pred: [-20, -9]
name: hatchback_0_45_-8_35_15_230_30_420.png, overlap_score: 255.0, pred: [0, -20]
name: hatchback_0_15_-8_10_15_20_30_420.png, overlap_score: 162.40688641612428, pred: [0, -1]
name: hatchback_-20_15_-8_35_20_20_30_420.png, overlap_score: 124.80327421555252, pred: [-20, -24]
name: sedan2door_0_15_-8_35_15_80_30_420.png, overlap_score: 235.99776536312848, pred: [0, -1]
name: hatchback_0_15_-30_35_15_20_60_420.png, overlap_score: 251.49422400803616, pred: [0, -2]
name: sedan2door_-40_15_-30_10_20_230_60_420.png, overlap_score: 0.0, pred: [-40, -32]
name: hybrid_-20_15_-30_10_20_80_30_420.png, overlap_score: 6.917350157728706, pred: [-20, -23]
name: hatchback_-40_15_-30_35_15_20_60_420.png, overlap_score: 0.0003374388392103931, pred: [-40, -28]
name: sedan2door_-20_23_-8_10_20_230_60_420.png, overlap_score: 0.0, pred: [-20, -28]
name: hybrid_0_15_-30_35_20_230_30_420.png, overlap_score: 255.0, pred: [0, -20]
name: suv_-40_45_-8_10_15_140_30_420.png, overlap_score: 0.0, pred: [-40, -30]
name: suv_-20_15_-30_10_15_140_60_420.png, overlap_score: 0.0, pred: [-20, -11]
name: hybrid_0_15_-8_35_15_230_60_420.png, overlap_score: 255.0, pred: [0, -3]
name: hatchback_-20_15_-30_10_15_230_60_420.png, overlap_score: 0.0, pred: [-20, -25]
name: suv_-40_45_-30_10_15_230_30_420.png, overlap_score: 201.46195652173913, pred: [-40, -15]
name: sedan2door_-20_15_-30_35_20_20_60_420.png, overlap_score: 52.09085313307891, pred: [-20, -23]
name: hybrid_-20_15_-30_10_15_20_60_420.png, overlap_score: 47.649464693853, pred: [-20, -9]
