name: hatchback_-30_45_-36_10_15_20_30_420.png, overlap_score: 0.0, pred: [-30, -21]
name: sedan4door_-50_15_-22_10_20_140_60_420.png, overlap_score: 0.0, pred: [-50, -9]
name: suv_-30_45_-4_10_20_80_30_420.png, overlap_score: 56.33798449612403, pred: [-30, -10]
name: hybrid_-30_45_-36_35_15_140_60_420.png, overlap_score: None, pred: [-30, -18]
name: hybrid_-17_45_-36_10_15_140_30_420.png, overlap_score: None, pred: [-17, -20]
name: hatchback_-30_45_-36_10_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -8]
name: hatchback_-50_15_-4_35_20_80_60_420.png, overlap_score: 161.63193277310924, pred: [-50, -2]
name: hatchback_-17_15_-4_10_15_230_30_420.png, overlap_score: 0.0, pred: [-17, -7]
name: sedan2door_-30_45_-22_10_15_230_60_420.png, overlap_score: None, pred: [-30, -18]
name: sedan4door_-30_15_-4_35_20_80_60_420.png, overlap_score: 8.43791329904482, pred: [-30, 0]
name: sedan2door_-50_15_-4_10_20_20_60_420.png, overlap_score: None, pred: [-50, -15]
name: hybrid_-30_15_-36_35_15_140_30_420.png, overlap_score: None, pred: [-30, -19]
name: hatchback_-50_15_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -16]
name: sedan2door_-50_15_-22_35_20_20_60_420.png, overlap_score: None, pred: [-50, -15]
name: hybrid_-30_15_-36_10_20_230_30_420.png, overlap_score: None, pred: [-30, -19]
name: sedan4door_-17_45_-4_35_15_20_30_420.png, overlap_score: 0.0, pred: [-17, -16]
name: hatchback_-17_45_-4_35_15_20_30_420.png, overlap_score: 0.006458557588805167, pred: [-17, -29]
name: sedan2door_-30_15_-36_35_20_230_60_420.png, overlap_score: None, pred: [-30, -17]
name: hatchback_-30_15_-4_10_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -1]
name: sedan4door_-30_45_-36_10_15_20_60_420.png, overlap_score: 0.02101134612690853, pred: [-30, -29]
name: sedan4door_-30_45_-4_10_15_80_60_420.png, overlap_score: 6.2806759735488615, pred: [-30, -3]
name: suv_-30_45_-36_35_15_140_30_420.png, overlap_score: None, pred: [-30, -10]
