name: hatchback_-30_45_-36_10_15_20_30_420.png, overlap_score: 159.2081368954077, pred: [-30, -27]
name: sedan4door_-50_15_-22_10_20_140_60_420.png, overlap_score: 0.006541291905151268, pred: [-50, -37]
name: suv_-30_45_-4_10_20_80_30_420.png, overlap_score: 0.0, pred: [-30, -38]
name: hybrid_-30_45_-36_35_15_140_60_420.png, overlap_score: 0.05201560468140442, pred: [-30, -26]
name: hybrid_-17_45_-36_10_15_140_30_420.png, overlap_score: 0.0, pred: [-17, -13]
name: hatchback_-30_45_-36_10_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -17]
name: hatchback_-50_15_-4_35_20_80_60_420.png, overlap_score: 201.2354854854855, pred: [-50, -33]
name: hatchback_-17_15_-4_10_15_230_30_420.png, overlap_score: 1.4035087719298245, pred: [-17, -32]
name: sedan2door_-30_45_-22_10_15_230_60_420.png, overlap_score: 205.14900314795383, pred: [-30, -35]
name: sedan4door_-30_15_-4_35_20_80_60_420.png, overlap_score: 232.22222222222223, pred: [-30, -29]
name: sedan2door_-50_15_-4_10_20_20_60_420.png, overlap_score: 186.1840869780084, pred: [-50, -21]
name: hybrid_-30_15_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -30]
name: hatchback_-50_15_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -42]
name: sedan2door_-50_15_-22_35_20_20_60_420.png, overlap_score: 181.72881146528292, pred: [-50, -22]
name: hybrid_-30_15_-36_10_20_230_30_420.png, overlap_score: 39.40996168582375, pred: [-30, -42]
name: sedan4door_-17_45_-4_35_15_20_30_420.png, overlap_score: 89.88171064604185, pred: [-17, -30]
name: hatchback_-17_45_-4_35_15_20_30_420.png, overlap_score: 47.46561776955113, pred: [-17, -10]
name: sedan2door_-30_15_-36_35_20_230_60_420.png, overlap_score: 211.4632738719832, pred: [-30, -35]
name: hatchback_-30_15_-4_10_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -30]
name: sedan4door_-30_45_-36_10_15_20_60_420.png, overlap_score: 161.52041990221454, pred: [-30, -24]
name: sedan4door_-30_45_-4_10_15_80_60_420.png, overlap_score: 242.15142857142857, pred: [-30, -31]
name: suv_-30_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -24]
name: hybrid_-30_15_-22_35_15_80_30_420.png, overlap_score: 0.15716753022452504, pred: [-30, -32]
name: hatchback_-30_15_-22_35_15_20_60_420.png, overlap_score: 249.83407188577056, pred: [-30, -20]
name: hatchback_-17_15_-22_10_20_80_30_420.png, overlap_score: 48.714916151809355, pred: [-17, -12]
name: hybrid_-50_15_-4_35_15_80_60_420.png, overlap_score: 38.198905109489054, pred: [-50, -31]
name: suv_-50_45_-36_35_20_20_30_420.png, overlap_score: 177.5591235878124, pred: [-50, -33]
name: sedan2door_-17_15_-36_35_20_230_60_420.png, overlap_score: 0.0, pred: [-17, -18]
name: hatchback_-30_15_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-30, -29]
name: suv_-50_45_-36_35_15_230_30_420.png, overlap_score: 0.0, pred: [-50, -13]
name: sedan4door_-30_45_-22_10_20_230_60_420.png, overlap_score: 170.92007104795738, pred: [-30, -33]
name: sedan2door_-50_45_-4_10_15_80_60_420.png, overlap_score: 198.67307315159835, pred: [-50, -28]
name: hatchback_-50_45_-4_35_15_80_30_420.png, overlap_score: 30.364030335861322, pred: [-50, -28]
name: sedan4door_-30_15_-36_10_20_80_60_420.png, overlap_score: 162.52444444444444, pred: [-30, -22]
name: sedan2door_-30_15_-36_10_15_20_30_420.png, overlap_score: 62.822257806245, pred: [-30, -30]
name: hatchback_-17_45_-36_35_15_140_60_420.png, overlap_score: 59.637362637362635, pred: [-17, -7]
name: hybrid_-50_45_-4_35_15_140_60_420.png, overlap_score: 0.1683991683991684, pred: [-50, -39]
name: sedan2door_-30_15_-22_10_15_20_30_420.png, overlap_score: 54.37329863891113, pred: [-30, -31]
name: sedan4door_-50_45_-22_10_20_230_30_420.png, overlap_score: 0.0, pred: [-50, -46]
name: suv_-50_15_-4_10_20_140_30_420.png, overlap_score: 95.33836858006042, pred: [-50, -43]
name: hybrid_-50_15_-4_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -39]
name: sedan4door_-17_45_-36_10_20_80_30_420.png, overlap_score: 0.0, pred: [-17, -3]
name: hybrid_-30_45_-36_10_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -26]
name: suv_-50_45_-36_35_15_20_30_420.png, overlap_score: 171.7882916809312, pred: [-50, -33]
name: sedan2door_-30_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-30, -31]
name: hatchback_-50_45_-4_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -42]
name: hatchback_-50_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -42]
name: sedan4door_-50_15_-36_35_15_140_60_420.png, overlap_score: 0.3810302534750613, pred: [-50, -37]
name: hybrid_-50_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -41]
name: hybrid_-50_15_-22_35_20_140_60_420.png, overlap_score: 3.2037422037422036, pred: [-50, -38]
name: sedan2door_-50_15_-4_10_20_140_60_420.png, overlap_score: 27.351170568561873, pred: [-50, -34]
name: hatchback_-30_15_-4_35_20_80_60_420.png, overlap_score: 1.8301620859760395, pred: [-30, -30]
name: hybrid_-17_45_-36_10_15_20_30_420.png, overlap_score: 105.20352295256977, pred: [-17, -13]
name: hatchback_-17_45_-36_35_15_230_60_420.png, overlap_score: 0.0, pred: [-17, -21]
name: sedan2door_-50_45_-36_35_15_20_60_420.png, overlap_score: 168.76834692364716, pred: [-50, -21]
name: hatchback_-30_45_-22_10_15_230_60_420.png, overlap_score: 222.01488372093024, pred: [-30, -33]
name: sedan4door_-30_15_-22_10_15_80_60_420.png, overlap_score: 163.50666666666666, pred: [-30, -27]
name: hatchback_-17_45_-4_10_15_140_30_420.png, overlap_score: 40.34309623430963, pred: [-17, -3]
name: suv_-30_15_-4_35_20_80_60_420.png, overlap_score: 133.54755125284737, pred: [-30, -26]
name: sedan2door_-50_45_-36_35_15_80_60_420.png, overlap_score: 194.0900176505197, pred: [-50, -28]
name: sedan4door_-50_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -42]
name: sedan4door_-50_45_-22_35_20_80_60_420.png, overlap_score: 32.17699890470975, pred: [-50, -26]
name: hatchback_-17_45_-36_10_20_20_60_420.png, overlap_score: 4.311908646003262, pred: [-17, -12]
name: sedan4door_-50_15_-4_35_20_230_60_420.png, overlap_score: 217.3143213988343, pred: [-50, -35]
name: sedan2door_-50_45_-22_10_15_80_60_420.png, overlap_score: 198.14944106687585, pred: [-50, -28]
