name: sedan4door_-20_23_-8_35_20_230_60_420.png, overlap_score: 177.94273215350964, pred: [-20, -23]
name: sedan4door_-40_45_-30_35_20_140_30_420.png, overlap_score: 44.46413079746413, pred: [-40, -37]
name: suv_-20_15_-30_35_20_80_60_420.png, overlap_score: 88.12759084791386, pred: [-20, -20]
name: suv_0_45_-8_10_20_80_60_420.png, overlap_score: 59.763065031087216, pred: [0, -1]
name: sedan4door_-40_15_-30_10_20_20_60_420.png, overlap_score: 192.25438221462164, pred: [-40, -26]
name: suv_0_45_-8_35_20_80_30_420.png, overlap_score: 59.91014120667523, pred: [0, -7]
name: hatchback_0_45_-30_10_15_140_60_420.png, overlap_score: 79.7180881511162, pred: [0, 0]
name: sedan2door_-40_45_-8_35_15_140_30_420.png, overlap_score: 29.282494365138994, pred: [-40, -29]
name: suv_-20_23_-8_35_15_230_60_420.png, overlap_score: 144.6636008277765, pred: [-20, -26]
name: hybrid_-20_45_-30_35_15_230_60_420.png, overlap_score: 164.65872851522053, pred: [-20, -11]
name: hatchback_-20_45_-30_35_15_140_60_420.png, overlap_score: 103.86489317134479, pred: [-20, -14]
name: hatchback_0_45_-8_35_15_230_30_420.png, overlap_score: 69.21091445427729, pred: [0, -24]
name: hatchback_0_15_-8_10_15_20_30_420.png, overlap_score: 145.7867897037397, pred: [0, -1]
name: hatchback_-20_15_-8_35_20_20_30_420.png, overlap_score: 89.13540372670808, pred: [-20, -22]
name: sedan2door_0_15_-8_35_15_80_30_420.png, overlap_score: 102.5851814516129, pred: [0, -1]
name: hatchback_0_15_-30_35_15_20_60_420.png, overlap_score: 46.78078934854969, pred: [0, -2]
name: sedan2door_-40_15_-30_10_20_230_60_420.png, overlap_score: 145.51700336700335, pred: [-40, -32]
name: hybrid_-20_15_-30_10_20_80_30_420.png, overlap_score: 32.58612701008449, pred: [-20, -22]
name: hatchback_-40_15_-30_35_15_20_60_420.png, overlap_score: 61.86386233269599, pred: [-40, -19]
name: sedan2door_-20_23_-8_10_20_230_60_420.png, overlap_score: 153.05443953394936, pred: [-20, -25]
name: hybrid_0_15_-30_35_20_230_30_420.png, overlap_score: 66.44606060606061, pred: [0, -24]
name: suv_-40_45_-8_10_15_140_30_420.png, overlap_score: 85.71089696071164, pred: [-40, -37]
name: suv_-20_15_-30_10_15_140_60_420.png, overlap_score: 38.59825593185966, pred: [-20, -12]
name: hybrid_0_15_-8_35_15_230_60_420.png, overlap_score: 20.696969696969695, pred: [0, -2]
name: hatchback_-20_15_-30_10_15_230_60_420.png, overlap_score: 44.182343784745385, pred: [-20, -25]
name: suv_-40_45_-30_10_15_230_30_420.png, overlap_score: 65.75155925155926, pred: [-40, -12]
name: sedan2door_-20_15_-30_35_20_20_60_420.png, overlap_score: 104.77010442869121, pred: [-20, -22]
name: hybrid_-20_15_-30_10_15_20_60_420.png, overlap_score: 140.01294820717132, pred: [-20, -6]
name: sedan4door_-40_15_-30_10_20_140_60_420.png, overlap_score: 96.84821077467558, pred: [-40, -30]
name: sedan4door_-40_23_-30_10_20_140_60_420.png, overlap_score: 112.44868265827762, pred: [-40, -30]
name: hatchback_0_23_-8_10_20_20_30_420.png, overlap_score: 116.1438284881704, pred: [0, 0]
name: hatchback_0_15_-8_10_20_80_60_420.png, overlap_score: 165.7508220679576, pred: [0, 0]
name: hybrid_-40_15_-8_35_20_20_60_420.png, overlap_score: 127.69808041112455, pred: [-40, -15]
name: sedan4door_-40_15_-30_10_15_140_30_420.png, overlap_score: 52.67600934267601, pred: [-40, -38]
name: sedan2door_-40_23_-30_10_15_20_30_420.png, overlap_score: 97.40533249404254, pred: [-40, -21]
name: hatchback_0_23_-8_35_15_20_60_420.png, overlap_score: 28.630813124108418, pred: [0, 0]
name: suv_0_45_-8_35_20_20_30_420.png, overlap_score: 122.7554689318129, pred: [0, 0]
name: suv_-20_15_-8_10_20_20_30_420.png, overlap_score: 122.74242735393777, pred: [-20, -23]
name: sedan2door_-40_15_-30_10_20_140_60_420.png, overlap_score: 23.892265772374763, pred: [-40, -34]
name: sedan4door_-20_23_-8_10_15_230_60_420.png, overlap_score: 160.02644660966394, pred: [-20, -23]
name: hatchback_-20_45_-30_10_20_20_30_420.png, overlap_score: 144.06111801242236, pred: [-20, -23]
name: sedan4door_0_15_-30_35_20_80_30_420.png, overlap_score: 101.23614941087992, pred: [0, -3]
name: sedan4door_-40_23_-8_35_20_20_30_420.png, overlap_score: 141.24067154629677, pred: [-40, -34]
name: hybrid_-40_45_-8_10_20_80_60_420.png, overlap_score: 121.17210183042289, pred: [-40, -33]
name: suv_-40_23_-8_10_15_140_60_420.png, overlap_score: 79.52209145282654, pred: [-40, -31]
name: suv_0_23_-30_35_20_20_60_420.png, overlap_score: 44.40230332269862, pred: [0, 0]
name: hatchback_-40_15_-8_35_20_140_30_420.png, overlap_score: 38.09151860543077, pred: [-40, -36]
name: sedan2door_0_15_-30_35_15_230_60_420.png, overlap_score: 62.35344827586207, pred: [0, -3]
name: hybrid_-20_45_-8_35_20_230_60_420.png, overlap_score: 170.96127562642369, pred: [-20, -11]
name: hatchback_0_23_-30_10_15_80_30_420.png, overlap_score: 107.12828438948995, pred: [0, -3]
name: sedan2door_-20_15_-30_35_15_230_30_420.png, overlap_score: None, pred: [-20, -19]
name: sedan2door_0_45_-30_35_15_230_30_420.png, overlap_score: None, pred: [0, -24]
name: hybrid_0_15_-30_10_20_80_30_420.png, overlap_score: 137.88873435326843, pred: [0, -1]
name: hybrid_-20_23_-8_10_20_20_30_420.png, overlap_score: 117.49393523889886, pred: [-20, -19]
